Place,Lat,Long
"Rego Park, New York",40.72557219999999,-73.8624893

"Sunset Park West, New York",40.6526345,-74.0091872

"Bay Ridge, New York",40.6263732,-74.0298767

"Murray Hill-Queens, New York",40.7634996,-73.8073261

"Briarwood/Jamaica Hills, New York",40.7135548,-73.796488

"Long Island City/Queens Plaza, New York",40.7509941,-73.9402697

"Springfield Gardens South, New York",40.6640496,-73.7685614

"Saint Albans, New York",40.6895283,-73.76436880000001

"Downtown Brooklyn/MetroTech, New York",40.6930744,-73.9856649

"Queens Village, New York",40.7156628,-73.7419017

"Kensington, New York",40.63852019999999,-73.97318729999999

"Soundview/Bruckner, New York",40.8247728,-73.8695889

"East New York/Pennsylvania Avenue, New York",40.6566595,-73.8890829

"Carroll Gardens, New York",40.6795331,-73.9991637

"Van Cortlandt Village, New York",40.8837203,-73.89313899999999

"Howard Beach, New York",40.6571222,-73.8429989

"Ozone Park, New York",40.6806669,-73.844659

"Brownsville, New York",40.665214,-73.9125304

"Morrisania/Melrose, New York",40.824545,-73.9104143

"Queensbridge/Ravenswood, New York",40.7556711,-73.9456723

"East Flatbush/Remsen Village, New York",40.65281299999999,-73.9199721

"Richmond Hill, New York",40.6999853,-73.8310309

"Queensboro Hill, New York",40.7445911,-73.8258135

"Erasmus, New York",40.7127753,-74.0059728

"East Flatbush/Farragut, New York",40.6374776,-73.9465792

"Bayside, New York",40.7602604,-73.7692026

"Woodhaven, New York",40.6901366,-73.8566087

"Flatbush/Ditmas Park, New York",40.6414876,-73.9593998

"Crotona Park East, New York",40.8365344,-73.8933509

"Battery Park, New York",40.7115786,-74.0158441

"Prospect Park, New York",40.6602037,-73.9689558

"East New York, New York",40.6590529,-73.8759245

"Glendale, New York",40.7016662,-73.8842219

"Columbia Street, New York",40.7171884,-73.9801775

"Roosevelt Island, New York",40.76050310000001,-73.9509934

"Springfield Gardens North, New York",40.6640496,-73.7685614

"Bay Terrace/Fort Totten, New York",40.79379,-73.7797304

"Laurelton, New York",40.67764,-73.7447853

"Homecrest, New York",40.6004787,-73.9565551

"Cypress Hills, New York",40.6836873,-73.87963309999999

"Gowanus, New York",40.6751161,-73.9879753

"Rosedale, New York",40.6575584,-73.7330753

"Midwood, New York",40.6204388,-73.95997779999999

"Parkchester, New York",40.8382522,-73.8566087

"Marine Park/Floyd Bennett Field, New York",40.5910174,-73.89060909999999

"Bloomfield/Emerson Hill, New York",40.6074525,-74.0963115

"Brighton Beach, New York",40.5780706,-73.9596565

"Arrochar/Fort Wadsworth, New York",40.6012117,-74.0579185

"Highbridge, New York",40.836916,-73.9271294

"Mount Hope, New York",41.4513121,-74.5346103

"Fordham South, New York",40.8614567,-73.8852771

"West Farms/Bronx River, New York",40.8430609,-73.8816001

"Saint George/New Brighton, New York",40.6404369,-74.090226

"University Heights/Morris Heights, New York",40.8505298,-73.91554289999999

"Newark Airport, New York",40.6884837,-74.17686359999999

"South Williamsburg, New York",40.7043921,-73.9565551

"Sheepshead Bay, New York",40.5953955,-73.94575379999999

"East Concourse/Concourse Village, New York",40.8316761,-73.9227554

"Hunts Point, New York",40.8094385,-73.8803315

"Bronx Park, New York",40.8614078,-73.8705844

"Co-Op City, New York",40.8738889,-73.82944440000001

"Pelham Bay Park, New York",40.8667516,-73.81011029999999

"Coney Island, New York",40.5755438,-73.9707016

"Brooklyn Navy Yard, New York",40.6991765,-73.97158379999999

"Hammels/Arverne, New York",40.5899226,-73.8065236

"Williamsbridge/Olinville, New York",40.8803912,-73.8668996

"Allerton/Pelham Gardens, New York",40.8652147,-73.8462442

"Jamaica Estates, New York",40.7179512,-73.783822

"Woodlawn/Wakefield, New York",40.8955423,-73.86247650000001

"Fresh Meadows, New York",40.7335179,-73.7801447

"Marble Hill, New York",40.8761173,-73.9102628

"Red Hook, New York",41.9950919,-73.87541139999999

"Corona, New York",40.7449859,-73.8642613

"Mariners Harbor, New York",40.6336287,-74.156292

